stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
33,519,Tartaczna,,52.7222252372176,15.1896339654922,,,
1215,3101,Zajezdnia Kostrzyńska,,52.7197940157348,15.1832704246044,,,
34,544,Wieprzyce PKP,,52.7185503281627,15.1804232597351,,,
1265,1078,Szarych Szeregów,,52.7609976033929,15.273517370224,,,
61,136,Fieldorfa""Nila"",,52.7640505759796,15.275856256485,,,
179,336,Ogińskiego,,52.7644644393618,15.2440559864044,,,
180,455,Sosnkowskiego,,52.7659770359897,15.251187980175,,,
73,473,Park Kopernika,,52.7433978571088,15.2489644289017,,,
88,541,Widok,,52.7409848666022,15.2456545829773,,,
89,472,Park Kopernika,,52.7429919124681,15.2486479282379,,,
119,157,Stilon,,52.7473418183871,15.2527798712254,,,
606,390,Prefadom,,52.7660922638366,15.2804857492447,,,
126,392,Prefadom,,52.7667414291065,15.2807378768921,,,
93,456,Sosnkowskiego,,52.7657287270579,15.2524003386498,,,
94,337,Ossolińskich,,52.765223990159,15.2463921904564,,,
188,312,Zajezdnia Kostrzyńska,,52.7200580206173,15.1833683252335,,,
35,546,Wieprzyce PKP,,52.7179069435352,15.1800638437271,,,
300,110, SP 12,,52.7219912999809,15.1790982484818,,,
301,680,Artylerzystów,,52.726541478968,15.1773977279663,,,
302,261,Folwarczna,,52.7382493870628,15.172473192215,,,
306,60,Chróścik,,52.7294994092231,15.1473623514175,,,
397,633,Chróścik INNEKO,,52.7219003240499,15.1377868652344,,,
369,260,Rondo Małyszyńskie,,52.7408484620725,15.1721969246864,,,
370,679,Artylerzystów,,52.7265284837741,15.1773306727409,,,
371,111, SP 12,,52.723190215055,15.1788300275803,,,
339,311,Zajezdnia Kostrzyńska,,52.7201156953174,15.1833522319794,,,
253,700,Tartaczna,,52.7222057424958,15.1892691850662,,,
254,702,Pl. Słoneczny,,52.7234631342064,15.1990216970444,,,
255,703,Os. Słoneczne,,52.7245547937324,15.2053463459015,,,
